LOCATION_ID,SESSION_ID,STREET_NAME,STREET_NUMBER,COMPLEMENT,POSTAL_CODE,CITY,STATE,COUNTRY
87ed013d-678a-41c1-ac41-1d63c66b8dcc,c40e4dc2-e332-4742-9292-f51dda6b2b0b,Rua Itamar Pinto,361,Apartamento 3,11244130,Guarulhos,Sao Paulo,Brasil
cb2276d3-22d5-45e2-9cee-e73c5a8452db,4e546012-b25a-4e8a-b1c3-fad6d2ad37eb,Rua Zenaide Elisângela Emci,196,Casa 4,15257089,Sao Paulo,Sao Paulo,Brasil
4a50a669-c66a-4e52-8016-7351991b742d,597f8f46-3c4f-4be3-9073-6cbce2311969,Avenida Ângela Mero,758,Casa 1,40097743,Osasco,Sao Paulo,Brasil
2b6b221e-cde6-4ca1-abb1-cae636a10dd2,b7319989-7aa7-4052-8bcf-9e1aac1febeb,Travessa Zulmira Genir de Pascoal,69,Casa 6,27536859,Osasco,Sao Paulo,Brasil
c4e528b0-0de6-4f79-b2e9-fff17a7ce6d6,d35a90e5-b3c7-455c-b7b7-b92f8fa319ed,Travessa Suely de Salvador,89,Apartamento 1,81753932,Osasco,Sao Paulo,Brasil
00ed1d0b-c035-4087-bb61-f0abd08890fb,9643713f-761f-4f42-9c0c-ffc1122ccff7,Rua Tiago Avlis de Mello Esemcunos,250,Apartamento 8,49539786,Osasco,Sao Paulo,Brasil
a3aa24d4-9bda-4229-8727-c6e6836bf863,748d137c-23fa-40eb-9646-faada5e7da0b,Avenida Emílio Igesa,298,Apartamento 5,40565889,Sao Paulo,Sao Paulo,Brasil
37d98a18-d835-4f2b-b643-19f45ab60bf7,03200e5c-1c66-4587-ad7e-cc29a6e0e75b,Avenida Kim Fábio Herrera de França,294,Casa 3,99201918,Guarulhos,Sao Paulo,Brasil
967c1c93-2a8f-4f11-8692-9092f61f1e8d,b57076b8-ccab-437e-9e16-e0b7f3458e33,Rua Olívia Andréia Portugal,799,Casa 4,10598843,Osasco,Sao Paulo,Brasil
b8bd97e2-5447-4f74-ac42-908290af068f,9f2bc2cf-4d6c-4fed-be6d-19a55482aa72,Rua Alex Jacinto de Diniz,513,Casa 7,28527299,Osasco,Sao Paulo,Brasil
cf6f8584-eb96-46f0-8145-7cae28d3522d,4d4d155e-e46a-4f91-81f7-c413af636a48,Avenida Marlon Teles,789,Casa 3,71453571,Sao Paulo,Sao Paulo,Brasil
2711a2d8-427d-4a85-ad63-38cad200e06b,6183749e-6575-4a98-94c7-b4c0bd919b38,Avenida Ronaldo Vitor de Oliveira,137,Casa 8,86895754,Guarulhos,Sao Paulo,Brasil
ce561405-76d4-44c4-88b8-126d2929d596,b9276244-d921-4337-8fe1-b85fbc83dcbe,Avenida Roberval Kevin de Ortiz Júnior,250,Apartamento 4,67180169,Sao Paulo,Sao Paulo,Brasil
f3947b6b-829d-48cd-9d57-927ebc99593e,db2f272c-c01f-41fd-a461-8c1d56ff980e,Travessa Emílio Antônio Drotasgi,861,Casa 5,44238319,Sao Paulo,Sao Paulo,Brasil
