PAYMENT_ID,CART_ID,PAYMENT_TYPE,CARD_NUMBER,EXPIRATION_DATE,CVV,APPROVED_PAYMENT
bc7d5113-d66e-41db-b8b1-08300d0d06eb,54ab8c29-a1f5-4914-9cf4-7a80f9a654a9,CREDIT_CARD,2838887589084608,4/2025,864,0
e0027cd1-c6a0-4aa2-951e-5e325774213c,68e6018a-0b92-4823-8946-e7ffd2962699,DEBIT_CARD,2838887589084608,4/2025,864,0
6baca689-4814-4b83-93f1-5a9f3d0bcb0f,f9d60ef5-cc87-4a70-8f68-03513e68e73f,VOUCHER,2838887589084608,4/2025,864,0
751e73b4-d7d3-4910-b6e6-7ffe41d65f8b,0f731eb4-c61b-45c4-8672-7c278494be0a,DEBIT_CARD,2838887589084608,4/2025,864,0
91167de1-2f53-4d57-bb00-181a095999a5,31ea448b-b90f-47fe-888a-bf2f57d9eecb,DEBIT_CARD,2838887589084608,4/2025,864,0
86c12cc4-3db9-4d8a-b60e-0e23a6001e09,2a92b6b1-cd57-44f5-a47f-61f6d94e182e,VOUCHER,2838887589084608,4/2025,864,1
aaaf6568-0567-40af-88b9-e8ef030515a0,e290d8ee-130c-488d-ac00-cbe5d0cfa91d,DEBIT_CARD,2838887589084608,4/2025,864,1
c2420a59-0e1f-4ea5-85d1-b5fac2a4c1ad,9c9aa100-7b58-4dcf-adaa-40fe307438c3,VOUCHER,2838887589084608,4/2025,864,0
3c0be67b-3fbb-4078-abf0-9730a74d3e51,4c9ec57d-bdd2-4b23-a24c-8184f56dc40f,DEBIT_CARD,2838887589084608,4/2025,864,1
ce746740-1d98-4c9c-82c9-230373b7dc53,e9efbf03-d3eb-4f20-b7fe-72f27c9473d4,CREDIT_CARD,2838887589084608,4/2025,864,0
c0a154ca-a8b6-4fcc-82a4-1ee192294730,c09d4baa-5ebe-4532-9064-3209bf8234b8,DEBIT_CARD,4619737728007682,7/2025,707,1
0f4cf73f-f2f1-4d49-a1e8-88546466bca2,613ac327-50cb-4b8b-a52b-ad08eea92382,CREDIT_CARD,4619737728007682,7/2025,707,0
7817f08b-a870-46cb-a6f2-0bbf4bc876f8,20e73e20-b4a0-4d18-831e-500b40ff2c06,DEBIT_CARD,4619737728007682,7/2025,707,0
ed4af61c-3d4a-4218-9171-2c83949db82d,ebeeae14-d287-4cfc-ae2b-29f6775fa1a5,CREDIT_CARD,4619737728007682,7/2025,707,1
df45f722-4e35-4b1e-ba7b-d51f83c7f5c2,03d7b159-8977-4302-a6d1-42889045376e,DEBIT_CARD,4619737728007682,7/2025,707,0
6c995b82-ef6a-4f27-a96c-3f689b024361,00bcf48f-bf7c-4edc-b4ba-36af28660456,CREDIT_CARD,4619737728007682,7/2025,707,1
ef0b010c-1308-42a5-b14c-cc5a189c4cb0,1ed9b79b-6e3d-4b7e-9cc5-41f07d80d09b,CREDIT_CARD,4619737728007682,7/2025,707,0
3b8566c4-1dae-47ce-adf3-de991a7a3829,34237754-96d6-425b-a208-ad6400df3588,VOUCHER,4619737728007682,7/2025,707,0
6ea275bd-b0d8-4b77-be9e-949414a8c904,de6117b1-dd1d-4a46-bc28-afcea624afb2,CREDIT_CARD,1382526787423591,9/2025,773,1
